Stat_ID;Easting_X;Norting_Y;Altitude;Longitude;Latitude;catArea;flowAcc;rel_err[%];row;column;Bl_ID;Start_Date;End_Date;State;data_avail;nxtGage;Station_Name;River;dem_mean;dem_std;dem_min;dem_max;LC-forest;LC-impervious;LC-permeable;WB_from_year;WB_to_year;Qobs[mm_a-1];Precip[mm_a-1];PET[mm_a-1];NSE-Q_v4.3_d;Qsim[mm_a-1];AET[mm_a-1]
6340600;4540259.47;5717409.08;-999;12.581;51.591;6171;6040.8;2.11;-9999;-9999;44;1960-11-01;2009-12-31;DE;100.00%;6340170;BAD-DUEBEN;VEREINIGTE-MULDE;385.52;201.29;74.98;1212.01;25.72;10.17;64.11;1965;1999;341.43;787.36;689.65;0.84;317.32;468.5
6338100;4178648.46;5855718.97;6.71;7.24;52.74;8369;8421.6;0.62;-9999;-9999;6;1940-01-01;2009-12-31;DE;100.00%;-999;VERSEN;EMS;60.48;36.23;10.32;382.57;12.68;7.84;79.48;1965;1999;310.51;793.58;708.61;0.86;305.02;486.27
6335600;4282721.17;5481428.84;120.04;9.004;49.432;12710;12675.4;0.27;-9999;-9999;19;1950-11-01;2009-12-31;DE;100.00%;6335180;ROCKENAU-SKA;NECKAR;444.70;152.78;124.49;1015.12;34.92;10.31;54.77;1965;1999;354.61;915.17;767.76;0.92;369.76;542.2
6335304;4261616.69;5557391.02;90.64;8.667;50.106;24764;24793.3;0.12;-9999;-9999;18;1963-11-01;2009-12-31;DE;100.00%;6335150;FRANKFURT-AM-MAIN;MAIN;355.95;113.14;92.64;1044.32;38.92;6.49;54.60;1965;1999;245.86;789.49;761.22;0.93;254.2;531.69
6340300;4482794.38;5751655.07;-999;11.75;51.9;23719;23822.2;0.44;-9999;-9999;34;1931-11-01;2009-12-31;DE;99.72%;6340140;CALBE-GRIZEHNE;SAALE;287.17;161.91;56.32;1139.46;22.99;8.45;68.55;1965;1999;165.74;638.55;716.8;0.74;139.9;496.88
6337200;4306865.81;5873878.3;4.79;9.125;52.964;37720;37921.4;0.53;-9999;-9999;15;1857-01-01;2010-01-31;DE;100.00%;-999;INTSCHEDE;WESER;223.18;164.53;8.01;1115.74;33.45;7.28;59.26;1965;1999;275.941;772.61;706.29;0.93;261.54;508.47
6342800;4582177.42;5393646.93;299.6;13.116;48.676;47496;43431.5;8.56;-9999;-9999;47;1900-11-01;2009-12-31;DE;100.00%;6342900;HOFKIRCHEN;DANUBE;557.61;170.03;302.26;2328.55;32.11;6.22;61.67;1965;1999;467.85;943.2;750.97;0.81;439.59;500.82
6340501;4521473.57;5830110.36;24.53;12.317;52.605;19288;18470.5;4.24;-9999;-9999;33;1951-01-01;2008-12-31;DE;100.00%;6340150;RATHENOW-HAUPTSCHLEUSE-UP;HAVEL;75.81;55.43;26.94;577.20;39.27;9.71;51.02;1965;1999;151.32;574.54;737.08;0.16;132.95;441.5
0579085;4471764;5746744;-9999;-9999;-9999;3200;3182.3;0.55;-9999;-9999;-9999;1988-11-01;2013-12-31;DE;100%;-9999;STASSFURT;BODE;215.02;161.64;63.72;1072.15;23.39;6.90;69.70;-9999;-9999;-9999;-9999;-9999;-9999;-9999;-9999
6321100;4095750;5743850;12;6.151;51.684;1203;1296.1;7.74;3762;578;1;1955-11-01;2008-12-31;DE;99.85%;6421501;GOCH;NIERS;43.49;19.30;13.79;125.98;7.90;16.91;75.18;1956;2008;192.79;762.04;747.42;-1.87;251.37;510.69
6335115;4206379.54;5538514.58;85;7.911;49.912;4013;4028.1;0.38;5815;1684;9;1935-11-01;2009-12-31;DE;100.00%;6335100;GROLSHEIM;NAHE;349.23;112.81;87.47;815.61;37.61;6.17;56.22;1955;2009;239.75;749.87;763.47;0.68;230.01;519.46
6335125;4205850;5369050;173;8.033;48.392;954;956.2;0.23;7510;1679;11;1914-01-01;2008-12-31;DE;100.00%;6335200;SCHWAIBACH;KINZIG;592.07;195.17;174.65;1080.60;69.67;3.57;26.77;1955;2008;773.64;1437.85;762.75;0.79;857.01;582.95
6335290;4302550;5461450;154;9.287;49.258;1929;1940.5;0.6;6586;2646;19;1911-06-01;2009-12-31;DE;99.40%;6335600;STEIN;KOCHER;405.57;94.42;157.76;741.80;36.89;5.69;57.42;1955;2009;366.73;915.57;783.44;0.66;356.29;560.81
6335300;4306750;5458250;159;9.343;49.23;141;141.7;0.52;6618;2688;19;1929-11-01;1981-12-31;DE;98.71%;6335290;NEUENSTADT;KOCHER;311.22;96.17;169.26;548.38;35.78;4.89;59.33;1955;1981;4613.22;878.07;773.21;-0.37;325.47;549.6
6335350;4241750;5607750;135;8.356;50.545;3571;3578.5;0.21;5123;2038;18;1935-11-01;2009-12-31;DE;100.00%;6335070;LEUN-(NEU);LAHN;322.21;102.94;140.05;742.96;44.14;8.02;47.84;1955;2009;306.67;819.25;746.01;0.7;292.73;526.5
6335601;4292550;5441350;160;9.16;49.073;7916;7893.9;0.28;6787;2546;19;1948-11-01;2009-12-31;DE;100.00%;6335600;LAUFFEN;NECKAR;489.65;159.34;163.47;1015.12;36.97;12.69;50.35;1955;2009;353.19;911.78;774.05;0.83;358.09;561
6335602;4310050;5400050;245.76;9.419;48.707;3995;3973.8;0.53;7200;2721;20;1918-11-01;2009-12-31;DE;100.00%;6335601;PLOCHINGEN;NECKAR;549.87;144.21;250.66;1015.12;35.46;11.11;53.43;1955;2009;393.49;917.37;768.36;0.77;364.95;562.75
6335800;4419150;5535550;230;10.874;49.951;4251;4245.3;0.14;5845;3812;27;1930-11-01;2009-12-31;DE;94.95%;6335303;KEMMERN;MAIN;427.92;125.91;235.73;1044.32;41.36;4.94;53.71;1955;2009;332.93;831.19;738.65;0.79;308.62;524.29
6337500;4358550;5749550;94.98;9.942;51.863;2916;2917.2;0.04;3705;3206;25;1975-11-01;1987-12-31;DE;100.00%;6337509;GREENE;LEINE;276.73;126.32;100.47;925.47;35.68;6.12;58.20;1976;1987;354.52;828.48;686.89;0.89;327.85;491.99
6337501;4344750;5841250;23.01;9.704;52.682;7209;7609.5;5.56;2788;3068;24;1940-11-01;2009-12-31;DE;100.00%;6337250;MARKLENDORF;ALLER;95.83;88.41;26.29;1115.74;31.39;8.75;59.86;1955;2009;179.49;688.58;721.49;0.65;195.48;494.02
6337502;4368850;5833950;31.8;10.063;52.622;4374;4679.4;6.98;2861;3309;24;1890-11-01;2009-12-31;DE;100.00%;6337501;CELLE;ALLER;113.60;107.39;36.30;1115.74;31.24;7.25;61.50;1955;2009;195.05;681.55;720.82;0.77;190.11;492.39
6337503;4272350;5698950;336.97;8.731;51.381;103;102.7;0.29;4211;2344;17;1940-11-01;2009-12-31;DE;100.00%;6337516;HELMINGHAUSEN;DIEMEL;558.77;104.16;343.14;841.72;47.45;1.86;50.69;1955;2009;655.29;1067.43;649.89;0.32;584.56;483.5
6337504;4283250;5673450;245.87;8.898;51.156;1202;1205.9;0.33;4466;2453;17;1930-11-01;2009-12-31;DE;99.70%;6337505;SCHMITTLOTHEIM;EDER;477.01;110.45;248.46;838.85;55.92;3.80;40.28;1955;2009;504.39;985.85;676.08;0.67;485.27;500.88
6337505;4296150;5674250;193.19;9.085;51.164;1452;1454.2;0.15;4458;2582;17;1940-11-01;2009-12-31;DE;100.00%;6337400;AFFOLDERN;EDER;457.19;112.69;198.34;838.85;52.88;4.04;43.07;1955;2009;461.37;940.39;678.95;0.4;441.29;499.35
6337506;4325050;5675950;151.03;9.498;51.193;2975;2979.9;0.16;4441;2871;17;1950-11-01;2009-12-31;DE;100.00%;6337507;GREBENAU;FULDA;368.72;101.00;154.66;950.32;42.64;4.82;52.54;1955;2009;282.69;792.16;727.52;0.77;278.33;514.61
6337507;4323350;5679850;140.89;9.469;51.227;6366;6371.7;0.09;4402;2854;17;1920-11-01;2009-12-31;DE;100.00%;6337400;GUNTERSHAUSEN;FULDA;371.20;113.62;144.41;950.32;42.74;4.80;52.46;1955;2009;294.82;798.18;712.58;0.82;292.2;506.55
